record_id,timestamp,shipment_id,candidate_route_id,origin,destination,cargo_type,cargo_weight_kg,priority,airline,season,shc_code,num_connections,distance_km,total_transit_time_hours,capacity_available_kg,reliability_score,weather_risk_score,load_factor,cost_sar,optimization_score
RTE_002313,2025-10-24 00:09:17,SHP_000516,CR_06,BOM,JED,Heavy,10544.96,Standard,Saudia Cargo,Monsoon,HEA,1,3782.0,15.08,32567.36,0.847,0.35,0.58,39765.35,0.4387
RTE_016846,2025-11-06 01:44:10,SHP_003748,CR_01,MIA,JED,General,2852.46,Standard,Qatar Airways Cargo,Monsoon,GEN,1,11724.0,23.54,8180.39,0.85,0.2,0.834,11979.95,0.5605
RTE_006106,2025-05-26 14:47:36,SHP_001363,CR_04,NBO,JED,Dangerous,332.27,Express,Lufthansa Cargo,Spring,CAO,1,2834.0,10.3,688.25,0.804,0.461,0.709,5020.3,0.261
RTE_018083,2026-02-02 12:08:58,SHP_004029,CR_05,FRA,JED,Valuable,952.14,Express,UPS Airlines,Winter,VAL,0,4181.0,5.83,2355.72,0.99,0.066,0.787,10168.86,0.9001
RTE_011336,2025-11-05 15:08:24,SHP_002529,CR_05,RUH,JED,Perishable,2488.26,Standard,Emirates SkyCargo,Monsoon,PER,0,863.0,4.1,3861.59,0.88,0.395,0.622,10836.56,0.5518
RTE_017678,2025-08-16 06:54:57,SHP_003936,CR_04,ATL,JED,Pharmaceutical,1895.2,Standard,Singapore Airlines Cargo,Summer,ELM,0,11248.0,20.04,4301.86,0.932,0.065,0.781,14491.92,0.646
RTE_001093,2025-05-19 08:09:17,SHP_000236,CR_04,CDG,JED,Dangerous,147.39,Express,Lufthansa Cargo,Spring,CAO,0,4539.0,7.86,447.16,0.95,0.221,0.731,1983.12,0.99
RTE_008365,2025-03-21 18:11:39,SHP_001863,CR_02,ADD,JED,Valuable,910.91,Standard,Singapore Airlines Cargo,Spring,VAL,1,1820.0,13.74,1830.21,0.813,0.258,0.824,6553.61,0.2275
RTE_018551,2025-06-12 18:02:18,SHP_004134,CR_04,ATL,JED,Heavy,10109.92,Standard,Cargolux,Summer,HEA,1,11142.0,21.54,21832.68,0.849,0.182,0.855,48307.22,0.7949
RTE_011424,2025-10-21 16:12:55,SHP_002546,CR_01,RUH,JED,Dangerous,1515.64,Economy,Saudia Cargo,Monsoon,DGR,0,863.0,5.6,2999.91,0.853,0.517,0.778,7562.68,0.5176
RTE_006758,2026-01-12 02:45:29,SHP_001509,CR_01,IST,JED,Dangerous,1375.96,Express,Emirates SkyCargo,Winter,DGR,2,2359.0,15.76,3190.66,0.724,0.352,0.98,6579.83,0.3919
RTE_012894,2025-09-11 14:04:33,SHP_002869,CR_05,BOM,JED,Dangerous,3589.87,Express,UPS Airlines,Monsoon,CAO,0,3946.0,6.95,12661.67,0.915,0.561,0.544,24488.29,0.5604
